set_id,name,card_number,type,rarity,edition,price,image
4,Alakazam,1/130,Psychic,Rare Holo,1st Edition,19.65,https://content.tcgcollector.com/content/images/77/86/99/778699107c74ec6e64d00a3549fd168db2265389822eea6adbd1d1351d694288.jpg
4,Blastoise,2/130,Water,Rare Holo,1st Edition,65.96,https://content.tcgcollector.com/content/images/5b/e8/89/5be889f8566f879d11d39479ff5442a57e1944f986bd7a713f270bbe34469351.jpg
4,Chansey,3/130,Colorless,Rare Holo,1st Edition,10.48,https://content.tcgcollector.com/content/images/2f/80/25/2f80251954326144bdf3eaa5d65cfbf07f7c681656d285eaee7953e731b5a1e7.jpg
4,Charizard,4/130,Fire,Rare Holo,1st Edition,224,https://content.tcgcollector.com/content/images/e7/26/d3/e726d3778822dc3e78be3008cdf020a528a3699d3a0f59a8084c9c63833014cf.jpg
4,Clefable,5/130,Colorless,Rare Holo,1st Edition,10.14,https://content.tcgcollector.com/content/images/c9/fa/49/c9fa490c4bff92c261bf743dbc9eb1f7517bb15abd7268206380611639cb9653.jpg
4,Clefairy,6/130,Colorless,Rare Holo,1st Edition,9.54,https://content.tcgcollector.com/content/images/72/37/25/72372569d4f7d835811cee20b3232fdc3b947352739f624ecfb3a20b4941cd57.jpg
4,Gyarados,7/130,Water,Rare Holo,1st Edition,15.82,https://content.tcgcollector.com/content/images/bc/b8/bf/bcb8bf093ebc63a728a862c670c1c51583e6e7794fa52e97a5900188ce7f1a6f.jpg
4,Hitmonchan,8/130,Fighting,Rare Holo,1st Edition,13.65,https://content.tcgcollector.com/content/images/5c/32/b0/5c32b07722f644d473f69fad62d405d9a86964a4a9f2c19440b0bc38f1ee91eb.jpg
4,Magneton,9/130,Lightning,Rare Holo,1st Edition,8.98,https://content.tcgcollector.com/content/images/4a/8c/17/4a8c17de0d7e5f30a86bfe3d41ee2f5e52cd535caf5e1854622ae6841e75cb86.jpg
4,Mewtwo,10/130,Psychic,Rare Holo,1st Edition,20.60,https://content.tcgcollector.com/content/images/11/0f/4b/110f4b4619b449bf03bd09c8898f642a7280a083dca165acb8fbf6d9f9c1754a.jpg
4,Nidoking,11/130,Grass,Rare Holo,1st Edition,13.23,https://content.tcgcollector.com/content/images/dd/e4/7c/dde47c9f12f4a398a5275bce71a4003b9dd94f147067b94a94bc3adaad82b8b4.jpg
4,Nidoqueen,12/130,Grass,Rare Holo,1st Edition,14.80,https://content.tcgcollector.com/content/images/92/67/9d/92679d322def3bec4d9c2b1cb4980de815ad99288ed8dd4f703f0ceb3dfab1d8.jpg
4,Ninetales,13/130,Fire,Rare Holo,1st Edition,12.50,https://content.tcgcollector.com/content/images/a9/01/3b/a9013b80a6e455310eb382e41e5642e55b6c6089dfab0c63af0c9026c4e81837.jpg
4,Pidgeot,14/130,Colorless,Rare Holo,1st Edition,18.21,https://content.tcgcollector.com/content/images/b8/1d/b4/b81db4c9445f1721b510177d8618d589900953fa8c765ad1b8b60d4f545b05aa.jpg
4,Poliwrath,15/130,Water,Rare Holo,1st Edition,7.97,https://content.tcgcollector.com/content/images/79/75/3f/79753f733dd9fb11249100cc9df52a7ae33dcb41dcca58daabbfaade48b6330c.jpg
4,Raichu,16/130,Lightning,Rare Holo,1st Edition,20.90,https://content.tcgcollector.com/content/images/fa/46/b7/fa46b74ca123f36226ee43ff081dc731ec18cb65a182d75799d098537c77f525.jpg
4,Scyther,17/130,Grass,Rare Holo,1st Edition,16.30,https://content.tcgcollector.com/content/images/dc/43/cc/dc43cc9772f843c8eb001838e52e757e86c2a509fc6b18e4aa89b1511023ee7a.jpg
4,Venusaur,18/130,Grass,Rare Holo,1st Edition,57.46,https://content.tcgcollector.com/content/images/74/d0/f2/74d0f21297134c63e82c99b162ec3124af8e157296fff034d89109aedfae3563.jpg
4,Wigglytuff,19/130,Colorless,Rare Holo,1st Edition,7.33,https://content.tcgcollector.com/content/images/dd/8f/20/dd8f20da15761c6a1c729d0049d6e34e369616cfae99387413dca0c7adaa4ade.jpg
4,Zapdos,20/130,Lightning,Rare Holo,1st Edition,16.61,https://content.tcgcollector.com/content/images/f5/dc/9b/f5dc9b65da4d2a56c909efbd5436afb4075c275169f2e854c622ded694aa3a81.jpg
4,Beedrill,21/130,Grass,Rare,1st Edition,1.35,https://content.tcgcollector.com/content/images/1c/ef/c4/1cefc493eac792b0862369ac8dfbbc0ab646f307838aa3879e7868310f565246.jpg
4,Dragonair,22/130,Colorless,Rare,1st Edition,3.71,https://content.tcgcollector.com/content/images/8c/90/49/8c9049b02c41504c347041b6c9bd78e38cf4c200bdc9647abe813a15c3fcb23b.jpg
4,Dugtrio,23/130,Fighting,Rare,1st Edition,2.51,https://content.tcgcollector.com/content/images/79/1f/61/791f61fe9a888b9485f2eec0484b5bfaaa5d5348d37116e3b0f0ee14e679742a.jpg
4,Electabuzz,24/130,Lightning,Rare,1st Edition,2.13,https://content.tcgcollector.com/content/images/e5/59/ed/e559edb51a3efedbb088fd3ca05d207e9d348143548917a1380d7c9354edcf2a.jpg
4,Electrode,25/130,Lightning,Rare,1st Edition,2.37,https://content.tcgcollector.com/content/images/50/c7/1c/50c71c08409f19e98520dbd132f5a862d79b6a6c1a119fe1218651810726ec6d.jpg
4,Kangaskhan,26/130,Colorless,Rare,1st Edition,2.39,https://content.tcgcollector.com/content/images/1a/e2/01/1ae2017050a75203b1ef08b8331253f81be7d050915253b6404e7da299fda59a.jpg
4,Mr. Mime,27/130,Psychic,Rare,1st Edition,3.61,https://content.tcgcollector.com/content/images/ff/56/82/ff56821a0d5cfc0dd364316b9a0215eb57fc76d1ea01d750ec6287c2d1d012e1.jpg
4,Pidgeotto,28/130,Colorless,Rare,1st Edition,2.32,https://content.tcgcollector.com/content/images/05/98/8a/05988a22df9768d9376c5eb5a3061625d229a1aca6579894f59f31661cc2a947.jpg
4,Pinsir,29/130,Grass,Rare,1st Edition,2.66,https://content.tcgcollector.com/content/images/bb/77/e4/bb77e419a1c28a1fce87218ba27cafecd6191dd23149dfbbbe3ed3a2125dca2b.jpg
4,Snorlax,30/130,Colorless,Rare,1st Edition,3.96,https://content.tcgcollector.com/content/images/b1/5c/a4/b15ca462bfcb32dea7415b76844526a46a26f260e141c341db45e33eb2795c42.jpg
4,Venomoth,31/130,Grass,Rare,1st Edition,2.78,https://content.tcgcollector.com/content/images/3a/28/74/3a2874192d4799e10d1cd42e2bf5adbaf5f10b0ddd9e804dc968410ecfe9c87c.jpg
4,Victreebel,32/130,Grass,Rare,1st Edition,1.62,https://content.tcgcollector.com/content/images/d1/37/c5/d137c5726d7724c52ae4ac2716a23aeb510edfb7069c5a7d3a04e2e124af8baf.jpg
4,Arcanine,33/130,Fire,Uncommon,1st Edition,1.40,https://content.tcgcollector.com/content/images/c2/98/c5/c298c597c5f2666ff4e2d68ba7cc9da96a70d823009f613c6259f707e2832417.jpg
4,Butterfree,34/130,Grass,Uncommon,1st Edition,1.38,https://content.tcgcollector.com/content/images/fe/72/ce/fe72ce6b2b2c6798500bcc847491347aadf3f5bee34f9ebd3f3c2fb512b7b731.jpg
4,Charmeleon,35/130,Fire,Uncommon,1st Edition,1.51,https://content.tcgcollector.com/content/images/fe/82/2b/fe822be8aea0d49e773af2b536b29dee13d19a487007554a92efc4911f69aaeb.jpg
4,Dewgong,36/130,Water,Uncommon,1st Edition,0.85,https://content.tcgcollector.com/content/images/9e/fc/d0/9efcd054f977ee65354efb795e853172128cef609b96db4d5db04ce92e9cafff.jpg
4,Dodrio,37/130,Colorless,Uncommon,1st Edition,1.25,https://content.tcgcollector.com/content/images/92/3e/82/923e82ea66e6d5bf80f031442dad7d53f9980521e47746a23c0344097d8643d2.jpg
4,Dratini,38/130,Colorless,Uncommon,1st Edition,0.71,https://content.tcgcollector.com/content/images/49/2f/6d/492f6d36cb05ac5d5c731c7fdd763045cbe7cb46719f293cf2439c8432ab5407.jpg
4,Exeggutor,39/130,Grass,Uncommon,1st Edition,1.26,https://content.tcgcollector.com/content/images/c7/81/1c/c7811c4deca0f2f9bfaa4bdb1564429aa0773656b060fbf6c360d6f50a678de5.jpg
4,Farfetch'd,40/130,Colorless,Uncommon,1st Edition,0.35,https://content.tcgcollector.com/content/images/8b/83/62/8b8362706b9b28ab16904f622ab30ba42af7751980a8cbabd5cce8a5ec38613a.jpg
4,Fearow,41/130,Colorless,Uncommon,1st Edition,1.10,https://content.tcgcollector.com/content/images/33/3a/0e/333a0ea0340ee95e60a4ce531eebccb162164150fead0d099177fdcb94067493.jpg
4,Growlithe,42/130,Fire,Uncommon,1st Edition,0.99,https://content.tcgcollector.com/content/images/c7/9b/bf/c79bbf774429cde09d375e2d1fbab74f22aaa5c005210be2c219ba3ae8f9378a.jpg
4,Haunter,43/130,Psychic,Uncommon,1st Edition,0.71,https://content.tcgcollector.com/content/images/c0/23/54/c0235434c69ef1f8ad955df6b756c4b319dd90012c85c78c5bc6a11c0f7a480d.jpg
4,Ivysaur,44/130,Grass,Uncommon,1st Edition,2.74,https://content.tcgcollector.com/content/images/97/ba/52/97ba520fe9ff7a2e1f30cf532b1df43dca89f9e49e6b235831fb93ab4d1f8448.jpg
4,Jynx,45/130,Psychic,Uncommon,1st Edition,0.44,https://content.tcgcollector.com/content/images/c1/cd/54/c1cd544407b3e9139786b6229a341b07cf6f19671c46cbcedb77ee9bd5e29beb.jpg
4,Kadabra,46/130,Psychic,Uncommon,1st Edition,1.49,https://content.tcgcollector.com/content/images/49/60/f1/4960f1be7276bf99fdaf02a3d6aaeddf739c3647526727dc96727519167e18e5.jpg
4,Kakuna,47/130,Grass,Uncommon,1st Edition,0.44,https://content.tcgcollector.com/content/images/b4/5c/23/b45c23cf48341adba1242ed5778f813ef06f8d1fc673ae14f7d2b2ac5dda3db4.jpg
4,Lickitung,48/130,Colorless,Uncommon,1st Edition,1.22,https://content.tcgcollector.com/content/images/29/0e/5d/290e5d07c4229b80d43c2c3342bfa0d43806bf4e701af7f0596b11003766fd31.jpg
