set_id,name,card_number,type,rarity,edition,price,image
1,Alakazam,1/102,Psychic,Rare Holo,1st Edition,36.46,https://content.tcgcollector.com/content/images/2a/99/8c/2a998c029576a75b95def3e1b031147641f650b4752620170925063af12d4771.jpg
1,Blastoise,2/102,Water,Rare Holo,1st Edition,122,https://content.tcgcollector.com/content/images/1a/2d/92/1a2d923c0b1d536ea8fa429a6c744fa7bc4c35e6356ba9b20a06b49709d89df5.jpg
1,Chansey,3/102,Colorless,Rare Holo,1st Edition,25.38,https://content.tcgcollector.com/content/images/89/92/bb/8992bb13b7d09a0dea627655d3db3bf6935cb65d52bf181a81555e5b5b384463.jpg
1,Charizard,4/102,Fire,Rare Holo,1st Edition,135,https://content.tcgcollector.com/content/images/0c/48/79/0c48792192325dbc65a3e02e9552669de02deab5ba500a559429cb1041de7e1e.jpg
1,Clefairy,5/102,Colorless,Rare Holo,1st Edition,19.25,https://content.tcgcollector.com/content/images/a4/ed/47/a4ed476dc29a9b173e6654c7a4a252d766fa4ae1a96430abe2f7372741689813.jpg
1,Gyarados,6/102,Water,Rare Holo,1st Edition,21.22,https://content.tcgcollector.com/content/images/24/0a/cd/240acd68ca569d06bcca22d0ab2e7a99bc911ab4ebab79b6b239e4539f29e6f0.jpg
1,Hitmonchan,7/102,Fighting,Rare Holo,1st Edition,13.23,https://content.tcgcollector.com/content/images/4b/09/26/4b09267f1967ab42ba93c20d166b53a94c86735e07f8e0577baa18aa19b374f0.jpg
1,Machamp,8/102,Fighting,Rare Holo,1st Edition,12.67,https://content.tcgcollector.com/content/images/3a/6d/76/3a6d7607cba1a39831498de5582a1a7e7efe7ead8ccd7083f592d309774a8a7e.jpg
1,Magneton,9/102,Lightning,Rare Holo,1st Edition,16.54,https://content.tcgcollector.com/content/images/1d/04/db/1d04dbb82279c66f67865f0ef66435ad0940053a0bb3db5488d64728f924be62.jpg
1,Mewtwo,10/102,Psychic,Rare Holo,1st Edition,27.97,https://content.tcgcollector.com/content/images/1f/16/c4/1f16c4ef357d28d62a4868f0c1ecc0d8d39ee9dc53d070bbb44719c249df053a.jpg
1,Nidoking,11/102,Grass,Rare Holo,1st Edition,22.28,https://content.tcgcollector.com/content/images/c4/a2/1b/c4a21bc3f8c2750a1668ddde6feef04eecd1e328fe802146d95bebaa6c41a301.jpg
1,Ninetales,12/102,Fire,Rare Holo,1st Edition,17.38,https://content.tcgcollector.com/content/images/8c/bb/00/8cbb002c4873211d259a3487f2ffa75663c54f5bb2b275b031dcbafe7b9f2e4b.jpg
1,Poliwrath,13/102,Water,Rare Holo,1st Edition,16.26,https://content.tcgcollector.com/content/images/a7/d7/65/a7d7655d9506347f97bdce6f77d1368ff50ff937250c7d731b381d421e7d46d6.jpg
