set_id,name,card_number,type,rarity,edition,price,image
3,Aerodactyl,1/62,Fighting,Rare Holo,1st Edition,19.85,https://content.tcgcollector.com/content/images/79/86/13/79861307f0457f3b83a3082235817545e101a820ebce06c76c54ef9de48a3539.jpg
3,Articuno,2/62,Water,Rare Holo,1st Edition,27.08,https://content.tcgcollector.com/content/images/33/1d/4f/331d4fd82b6c47a49a44846129acf82881889079e13c80224c1f24f266077a55.jpg
3,Ditto,3/62,Colorless,Rare Holo,1st Edition,22.09,https://content.tcgcollector.com/content/images/82/23/24/822324a4e3b89c7b8f7e7c0b8ff3e5c3a8471b54278c2b4968e6f15a2c325514.jpg
3,Dragonite,4/62,Colorless,Rare Holo,1st Edition,64.82,https://content.tcgcollector.com/content/images/7f/cb/5b/7fcb5b2022539d8273970817c326db8ed7790f1821d88ca310913ea99912ed1e.jpg
3,Gengar,5/62,Psychic,Rare Holo,1st Edition,46.44,https://content.tcgcollector.com/content/images/87/e4/c5/87e4c55e0025e0a39b3ca31c1f624a68d80b21e85b07c4544d8f35d8856297fc.jpg
3,Haunter,6/62,Psychic,Rare Holo,1st Edition,18.81,https://content.tcgcollector.com/content/images/c0/7e/dd/c07edd248816c0ce0a78a68ee819933c89775388f3f1d4dc1b7e37225f0931b8.jpg
3,Hitmonlee,7/62,Fighting,Rare Holo,1st Edition,21.18,https://content.tcgcollector.com/content/images/1a/60/fb/1a60fb1d8407b0348e7554df3fc8a14b93cc8f2fb8d97ef7de0e063bb80f0138.jpg
3,Hypno,8/62,Psychic,Rare Holo,1st Edition,15.32,https://content.tcgcollector.com/content/images/9a/36/99/9a36997015a6be7c6bf74a8ea9218fb99e76d5e66aa7590de2159401030c17d2.jpg
3,Kabutops,9/62,Fighting,Rare Holo,1st Edition,20.42,https://content.tcgcollector.com/content/images/17/da/37/17da37256c9ab9e628b86ac567a54d5d6bd2965e2de031795897cb7752e710f9.jpg
3,Lapras,10/62,Water,Rare Holo,1st Edition,11.61,https://content.tcgcollector.com/content/images/8d/93/74/8d93740ca3d91144d9c99c2799bd865b2df143a23c3d6d46339c480370f75f8b.jpg
3,Magneton,11/62,Lightning,Rare Holo,1st Edition,9.43,https://content.tcgcollector.com/content/images/e2/4e/e2/e24ee2228b8728d00c4ae16e987e4f4ec556d12436cace2eb6cd702b493775ea.jpg
3,Moltres,12/62,Fire,Rare Holo,1st Edition,31.46,https://content.tcgcollector.com/content/images/2c/32/92/2c32925ef2ee85a7c4c804ef876ff618a133bf8a73ad6feb3c2930847b2e6981.jpg
3,Muk,13/62,Grass,Rare Holo,1st Edition,4.34,https://content.tcgcollector.com/content/images/13/e2/05/13e205425917442eb439b44fe3663abd606fb9857522e8081de4ab266789271d.jpg
3,Raichu,14/62,Lightning,Rare Holo,1st Edition,20.20,https://content.tcgcollector.com/content/images/f0/73/f4/f073f40ab73e90ccefedddd74099ef51309fea560ad36fb135433372d4e72dcf.jpg
3,Zapdos,15/62,Lightning,Rare Holo,1st Edition,15.54,https://content.tcgcollector.com/content/images/f5/e9/21/f5e92139a5a2f49487f0c2579a872f2aec3646c2a00c504d65b1917d9eb72dad.jpg
3,Aerodactyl,16/62,Fighting,Rare,1st Edition,3.66,https://content.tcgcollector.com/content/images/48/3e/02/483e02079980e1425e6046dda657bef98538b089808eef193dcaf2500360cd50.jpg
3,Articuno,17/62,Water,Rare,1st Edition,4.94,https://content.tcgcollector.com/content/images/bc/5b/30/bc5b30b560b996e847b402c119cf6e07aa35f48ced25649a785ab7efca9c5f48.jpg
3,Ditto,18/62,Colorless,Rare,1st Edition,4.52,https://content.tcgcollector.com/content/images/98/f2/2a/98f22a25819d7a540ae682a2106d8380b6512b9855230a87b05475c2c277aa2a.jpg
3,Dragonite,19/62,Colorless,Rare,1st Edition,9.18,https://content.tcgcollector.com/content/images/37/80/ff/3780ff1e55257ba93e10b36451c7fec4d074f005c78dcbcdbff766a02b04bdf6.jpg
3,Gengar,20/62,Psychic,Rare,1st Edition,6.75,https://content.tcgcollector.com/content/images/e5/4b/a3/e54ba3ebed884b4c30c2780f6dd0db3039350b49b2c0f27ac44b93d6aad9731f.jpg
3,Haunter,21/62,Psychic,Rare,1st Edition,2.64,https://content.tcgcollector.com/content/images/3b/6c/ba/3b6cba658ce763237b6025437ec6c70edada85fdb5c11e37e034dbc55fb48ebc.jpg
3,Hitmonlee,22/62,Fighting,Rare,1st Edition,3.18,https://content.tcgcollector.com/content/images/5c/b0/37/5cb03759ac2874becefd6a31302d5a15f1dcc7dccbb7d653e40d50a0d7b4fbd3.jpg
3,Hypno,23/62,Psychic,Rare,1st Edition,2.59,https://content.tcgcollector.com/content/images/cb/09/a8/cb09a8fc846980d44d7a4ff7f2490488bbb98e3aedbdacc22dc0c49224471957.jpg
3,Kabutops,24/62,Fighting,Rare,1st Edition,2.59,https://content.tcgcollector.com/content/images/71/66/10/7166108c56c587293a79a4d57f3b0446fb6b1723c849cb80481e7cd6cec607a1.jpg
3,Lapras,25/62,Water,Rare,1st Edition,2.73,https://content.tcgcollector.com/content/images/22/e1/2c/22e12cdc009db9c161bdc5d08ebf762e8442676fc39c805f1a173cf12a746174.jpg
