set_id,name,card_number,type,rarity,edition,price,image
2,Clefable,1/64,Colorless,Rare Holo,1st Edition,13.66,https://content.tcgcollector.com/content/images/d6/94/5c/d6945c5a52db841643d7b6267d57bf1a8c2d8788dcbf8d80d78f0ef41b0eaac9.jpg
2,Electrode,2/64,Lightning,Rare Holo,1st Edition,11.93,https://content.tcgcollector.com/content/images/5a/8b/e4/5a8be49e9aa26821712bf1c0b02a163fd7e6ac22a6b81c221d201046cc06d993.jpg
2,Flareon,3/64,Fire,Rare Holo,1st Edition,43.77,https://content.tcgcollector.com/content/images/d1/36/72/d13672ea4c27949ee800a8c3e1638fae0d29ae8b70c73ecdbced1c48531dc5fa.jpg
2,Jolteon,4/64,Lightning,Rare Holo,1st Edition,41.93,https://content.tcgcollector.com/content/images/00/33/a0/0033a00a5efab33be333b06eb1d23cf806686fdff02f9d195d38f772f3156aa0.jpg
2,Kangaskhan,5/64,Colorless,Rare Holo,1st Edition,9.18,https://content.tcgcollector.com/content/images/a0/e1/26/a0e1269624f49abb0ca3aad64550c33145492ded3a6edc5eb011b23ab8678496.jpg
2,Mr. Mime,6/64,Psychic,Rare Holo,1st Edition,18.80,https://content.tcgcollector.com/content/images/fb/2d/bd/fb2dbdf65721f86ed7919a31a07533f9af8ff805285df6c69080572b2f16d83d.jpg
2,Nidoqueen,7/64,Grass,Rare Holo,1st Edition,18.31,https://content.tcgcollector.com/content/images/cf/5b/ee/cf5beed16c4423c0fde23f322ae0c7a3d955900cf7bcf81fb7184d2d753b0009.jpg
2,Pidgeot,8/64,Colorless,Rare Holo,1st Edition,23.19,https://content.tcgcollector.com/content/images/43/a2/25/43a2253af155e73673fc2d1294a06e65c61b1b8462efe76801278c44bc459247.jpg
2,Pinsir,9/64,Grass,Rare Holo,1st Edition,15.20,https://content.tcgcollector.com/content/images/2e/f0/2e/2ef02e8e2400a85bb44735d07fdf33da4d1e8676d72a51555d8d602da78fe3a3.jpg
2,Scyther,10/64,Grass,Rare Holo,1st Edition,22.79,https://content.tcgcollector.com/content/images/12/38/2b/12382bb43ee4356f62bc688496e55f3f767a008f1e222f0d51b7acc5dfd7934a.jpg
2,Snorlax,11/64,Colorless,Rare Holo,1st Edition,33.41,https://content.tcgcollector.com/content/images/3c/1e/6b/3c1e6b64a806804d22ea62471dc2bfcb67fe568a0cf75da72364538aa261842d.jpg
2,Vaporeon,12/64,Water,Rare Holo,1st Edition,13.44,https://content.tcgcollector.com/content/images/2c/33/82/2c338250037b5dd3975576894e371ce8cb775f176c7730deecadf97e73aa07d1.jpg
2,Venomoth,13/64,Grass,Rare Holo,1st Edition,16.98,https://content.tcgcollector.com/content/images/51/2b/03/512b039765803134e59729b2b57efc707d54c1f94e80c9717dcb235e9c147331.jpg
2,Victreebel,14/64,Grass,Rare Holo,1st Edition,20.23,https://content.tcgcollector.com/content/images/f8/6a/74/f86a74cb84d870e3d24d4adac47e470963dcd81c66177b09cea04e23854dbec0.jpg
2,Vileplume,15/64,Grass,Rare Holo,1st Edition,14.79,https://content.tcgcollector.com/content/images/ea/92/5e/ea925ec229b28bab1c6d4a61977a0d55df813b3756e1856e706129d41741ceca.jpg
2,Wigglytuff,16/64,Colorless,Rare Holo,1st Edition,19.51,https://content.tcgcollector.com/content/images/c6/54/98/c6549877e2eee4de254da601198f7d11498a079a852c79f5af6a7d3bd640c7a2.jpg
2,Clefable,17/64,Colorless,Rare,1st Edition,2.62,https://content.tcgcollector.com/content/images/4a/f7/6d/4af76dab16bd3dc0f8c0e6e7ce803bbab15ac20c2131282c313971c2a7e47125.jpg
2,Electrode,18/64,Lightning,Rare,1st Edition,2.01,https://content.tcgcollector.com/content/images/af/c0/e8/afc0e8c829bec40e3845deddca2c316128f34cf16cd2559f4d275baae9a4e3d4.jpg
2,Flareon,19/64,Fire,Rare,1st Edition,5.11,https://content.tcgcollector.com/content/images/5a/2d/f1/5a2df19fe8edd63b3a0696e839274a1a73b01f69246f4ee2d1f80b6fce44ca23.jpg
2,Jolteon,20/64,Lightning,Rare,1st Edition,7.89,https://content.tcgcollector.com/content/images/b4/62/82/b46282aa45151a22cce6220fd7f3ef8d16f30d06b5921eede2b091686028a8ce.jpg
2,Kangaskhan,21/64,Colorless,Rare,1st Edition,2.74,https://content.tcgcollector.com/content/images/ff/08/37/ff0837834722db39a12f17a8640ed3f4cf73c092fc813f39114d2cc8db8c9077.jpg
2,Mr. Mime,22/64,Psychic,Rare,1st Edition,4.40,https://content.tcgcollector.com/content/images/a1/40/ed/a140eddecb6a3dc40230b9aad02d9401267fb056f4d5d1cd396447c6613f8458.jpg
2,Nidoqueen,23/64,Grass,Rare,1st Edition,4.22,https://content.tcgcollector.com/content/images/65/32/76/6532767e45d60f74ffa9d1b33f4027dd8f9a44feaa1c789419b1ea72b1baeec7.jpg
2,Pidgeot,24/64,Colorless,Rare,1st Edition,2.73,https://content.tcgcollector.com/content/images/7a/cb/f8/7acbf8505cfc8fd53a0e22a25962cee8dcc493b266360396159eeb5373b2ddbd.jpg
2,Pinsir,25/64,Grass,Rare,1st Edition,2.52,https://content.tcgcollector.com/content/images/2f/9d/70/2f9d7049280047fe41a6648dae87049d4348056c9c4ee88ad44e8a80cf4e8506.jpg
2,Scyther,26/64,Grass,Rare,1st Edition,7.90,https://content.tcgcollector.com/content/images/46/5c/04/465c045646a205b53218d8648ef0208b5e4622cb07fae6478a417d8bda2ec1e5.jpg
2,Snorlax,27/64,Colorless,Rare,1st Edition,4.99,https://content.tcgcollector.com/content/images/e7/c7/c7/e7c7c7aa3374f6b5dde3339d832ef710f20ec87206fcdf2f31faf80eaec947e0.jpg
2,Vaporeon,28/64,Water,Rare,1st Edition,5.14,https://content.tcgcollector.com/content/images/0b/07/9b/0b079b0089ff7f8d42a79928941a938d1dde6fc08bd0c5ef5a88ad955f6cfb77.jpg
2,Venomoth,29/64,Grass,Rare,1st Edition,2.08,https://content.tcgcollector.com/content/images/b9/d9/9d/b9d99dcd7d29eb7549f3a15866446d30551056082ce5d1f7c1e80fa06ae927bb.jpg
2,Victreebel,30/64,Grass,Rare,1st Edition,2.93,https://content.tcgcollector.com/content/images/53/bc/24/53bc24ce7505811b765e34b8d99523c566266e10830c94fae08c59a1c7631a14.jpg
2,Vileplume,31/64,Grass,Rare,1st Edition,2.52,https://content.tcgcollector.com/content/images/2e/bb/61/2ebb619c479e75265448cac64b01a3b5e8222555fd7c5960d8d803e5c4f794cb.jpg
2,Wigglytuff,32/64,Colorless,Rare,1st Edition,3.90,https://content.tcgcollector.com/content/images/7a/e3/22/7ae322ca2eb2644a7c15c5223c83df5da17aa86255c1251e4823dbb47a934031.jpg
2,Butterfree,33/64,Grass,Uncommon,1st Edition,0.89,https://content.tcgcollector.com/content/images/51/b5/7f/51b57f442465b12b153611db5a98985b8f02f4b50b10cf14e619fbf3a2741be6.jpg
2,Dodrio,34/64,Colorless,Uncommon,1st Edition,0.61,https://content.tcgcollector.com/content/images/b8/0f/d8/b80fd8e8e76b618d2b913eb5313cea974d880ba8ed87478e6b78f6278b34a715.jpg
2,Exeggutor,35/64,Grass,Uncommon,1st Edition,0.59,https://content.tcgcollector.com/content/images/8f/49/5a/8f495a74b6973fb7a163f2c70aa6d75840ee152ef78ab3b9a96a7189255a37f8.jpg
2,Fearow,36/64,Colorless,Uncommon,1st Edition,0.49,https://content.tcgcollector.com/content/images/d6/19/b5/d619b5c66ee609ebf199d5d88f5971e4a80f17128b9361efd3cf3b247f8592b5.jpg
2,Gloom,37/64,Grass,Uncommon,1st Edition,0.46,https://content.tcgcollector.com/content/images/06/33/e8/0633e8c9d6508fe7265cd7a9c9ef2d3932ef4b0fe5b85352e7339665dd32f1ff.jpg
2,Lickitung,38/64,Colorless,Uncommon,1st Edition,0.60,https://content.tcgcollector.com/content/images/55/92/40/5592408797285d40a99588cea4f28bb9a260009408e70354e22785beac778498.jpg
